Identifier,Submission Date,Water point Name,Woreda,Kebele,Parish,Village,Latitude,Longitude,DWD number of water point,Year of water point construction,Who funded the construction of this water point,Estimate the number of households who use this water point as their source of water,What is the main purpose for which people use water from this water point?,What is the main purpose for which people use water from this water point?--OTHER--,Is water used by vendors/collected to sell other places?,Are their livestock drinking facilities at the water point?,Type of water source,Public Tapstand - Name of Water Scheme Connected,Public Tapstand With Water Meter,Water Meter Functioning,Rain Water Harvesting Tank - Volume (L),Number of Taps/Spouts,Protected Spring Type,How many spouts does it have?,Borehole/Well Depth (m),Borehole/Well Diameter (In),Type of lifting device?,Handpump Type,What is the pipe material?,Is the water point currently functional?,Please rate the level of functionality,Specify the nature of the technical breakdowns,Duration of the current non-functionality (how long has it been out of service),How many days in total was the water facility out of service during the past one year?,How many hours per day is it possible to collect water from this source?,How many minutes does it take to fill a 20 Litre Jerry can?,Physical state of the Apron,Physical state of the pedestal,Physical state of Tap/ Spouts,Status of how the tap/ spout is currently being used,Physical state of drainage channel and soakpit,Physical state of the Pumphead,Physical state of the handle,Physical state of the retention wall,Physical state of the superstructure (building and door),Physical state of the plumbing works in the kiosk,How many rainwater harvesting tanks are present?,What is the total storage capacity of the tanks?,How many rainwater harvesting tanks are in USE?,What is the total storage volume of tanks IN USE?,What is the physical state of the gutters,What is the status of the filtration system?,What is the physical state of the filtration system,What is the Physical state of the MAIN tank,Please explain any other observable technical problems that require repairs,Are there any components of the well/ borehole that require total replacement?,Are there any components of the well/ borehole that require total replacement?--OTHER--,Are there any components of the protected spring that require total replacement?,Are there any components of the protected spring that require total replacement?--OTHER--,Are there any components of the public tapstand that require total replacement?,Are there any components of the public tapstand that require total replacement?--OTHER--,Are there any components of the kiosk that require total replacement?,Are there any components of the kiosk that require total replacement?--OTHER--,Are there any components of the rainwater harvesting system that require total replacement?,Are there any components of the rainwater harvesting system that require total replacement?--OTHER--,Are there any potential sources of contamination within 10 meters of the water point?,Is the catchment protected and are there any potential sources if contamination nearby?,Are there any potential sources of contamination to the rainwater system?,Is there concern about potential contamination of the water quality?,Is there concern about potential contamination of the water quality?--OTHER--,Are there any concerns about the COLOUR of the water?,Are there any concerns about the ODOUR/SMELL of the water?,Are there any concerns about the TASTE of the water?,Please any other concern about water quality,Who is responsible for daly operation of the water point?,Who is responsible for daly operation of the water point?--OTHER--,Is the care paid or unpaid?,Is there a WUC/ WSC for this water point?,Who is responsible for the overall management of this water point?,Is the WUC/ WSC currently active?,"In the last year, has the WUC/ WSC/ Management body organised any maintenance activities or repairs?","In the last year,has the WUC/WSC received any support or guidance from the sub-county or district government?",Number of members of the WUC/ WSC,Number of Active members on the WUC/WSC,Number of women on the WUC/WSC,"Number of women in key positions on the WUC/WSC (chair, secretary of finance)",Is the WUC/WSC a member of the Sub County Water Supply and Sanitation Board?,Does the WUC/WSC/operator keep records of the water meter readings or amount of water collected?,Does the WUC/WSC/operator keep financial records on income collected?,Does the WUC/WSC keep financial records on expenditure and/or a record of repairs?,Does the WUC/WSC have a bank account?,When were the last water quality tests done?,Does the operator keep financial records on expenditure and/or a record of repairs?,Has the WUC/WSC received any support or training from the Sub county or the district in the past year?,Do users pay for water?,How much is typically collected from each user when there is a breakdown or repair?,Type of tariff system,Type of tariff system--OTHER--,What is the monthly tariff?,What is the annual tariff?,What is the tariff per 20L jerry can?,% of Community Paying Tariffs,Are there any families or people in the village exempted from payment due to inability to pay?
12k3-2xbj-59fj,19-03-2021 13:27:52 UTC,Paida te Okiror,Agago,Lai Mutto TC,Wipolo Ward,Pida West,3.14150008,33.4380657,,2009,NGO,more than 100,Drinking water,,Never,No,Deep borehole,,,,,,,,27,2,Handpump,,GI,Functional in use,Barely functioning (almost not functioning),,,More than 3 weeks total,8-16 hours,more than 3 minutes,Very poor,Fair (moderate),,,very Poor,Fair (moderate),Fair (moderate),,,,,,,,,,,,poor drainage system,Drainage channel,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,poor drainage system,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,2,1,No,Unknown,Yes,Yes,No,Never,,No,Yes,,Fixed tariff per month,,1000,,,60,No
qw63-v7xu-9krj,19-03-2021 13:35:27 UTC,Lacankweri south kiteny,Agago,Lokole,Ngwero,Lapirin East,2.7853586,33.3121251,,2020,Private,,,,,No,Rain water harvesting tank,,,,2000,,,,,,,,,Functional and not in use,,,,,,,,,,,not there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1uw-h3em-tp4m,19-03-2021 13:42:54 UTC,Lacan kweri south kiteny,Agago,Lokole,Ngwero,Lapirin East,2.78523826,33.3121163,,2021,Private,less than 25,Water for other household and domestic use,,Never,No,Public Tapstand,,Yes,Yes,,,,,,,,,,Functional in use,Fully functioning at 100%,,,It was never broken down,more than 16 hours,less than 1 minute,Good,,Good,Active all are in use,not there,,,,,,,,,,,,,,no,,,,,NONE,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Sometimes,Rarely,no,Private operator,,,No,National Water and Sewerage Cooperation,,No,,,,,,,,,,,During construction of the water source,No,,No,,,,,,,,
gf14-8tta-74d9,19-03-2021 13:49:04 UTC,Paida East,Agago,Lai Mutto TC,Wipolo Ward,Pida East,3.15005499,33.4396794,69333,2018,NGO,,,,,No,Deep borehole,,,,,,,,22,2,Handpump,,,Functional and not in use,,,,,,,,,,,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qder-t44h-mtkm,19-03-2021 14:24:47 UTC,Paida central,Agago,Lai Mutto TC,Wipolo Ward,Soloti,3.15310769,33.4353801,,2020,NGO,more than 100,Drinking water,,Often,No,Public Tapstand,Umbrella,Yes,Yes,,,,,,,,,,Functional in use,Partially functioning works with some issues/ difficulties,,,Unknown,more than 8,1-3 minutes,Fair (moderate),,Good,Active all are in use,very poor,,,,,,,,,,,,,,poor drainage,,,,,,meter tap,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,Poor drainage system,Private operator,,,No,Northern Umbrella,,No,,,,,,,No,No,,,Never,No,,Yes,,Tariff per 20 litre jerry can,,,,100,70,Yes
26mb-3whs-26s3,19-03-2021 14:43:41 UTC,Wipolo,Agago,Lai Mutto TC,Wipolo Ward,Soloti,3.15157293,33.4304004,,2007,Government,more than 100,Drinking water,,Never,No,Deep borehole,,,,,,,,27,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,more than 16 hours,more than 3 minutes,Very poor,Fair (moderate),,,very poor,Fair (moderate),Fair (moderate),,,,,,,,,,,,poor drainage system and saok pit,NONE,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,good,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,4,1,No,No,Yes,Yes,No,Never,,No,Yes,,Fixed tariff per month,,1000,,,70,No
5eh1-uv2b-7bb1,19-03-2021 14:56:18 UTC,Paida,Agago,Lai Mutto TC,Wipolo Ward,Soloti,3.15362898,33.4295852,,2010,NGO,more than 100,Drinking water,,Never,No,Deep borehole,,,,,,,,27,2,Handpump,,GI,Functional in use,Barely functioning (almost not functioning),,,More than 3 weeks total,more than 16 hours,more than 3 minutes,Good,Good,,,good,Good,Good,,,,,,,,,,,,broken pipes,NONE,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,clean water,,community,,Yes,WUC/ WSC,No,,No,9,9,2,1,No,No,Yes,Yes,No,Never,,No,Yes,,Fixed tariff per month,,1000,,,70,No
48mj-w6rg-1hx5,20-03-2021 06:10:53 UTC,tangi kwonkic primary school,Agago,Lamiyo,Paicam,Kwonkic Labworokema,2.808071,33.1135702,,2005,Government,more than 100,Institutional use (school or healthcare facility/ health centre),,Never,No,Deep borehole,,,,,,,,24,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,More than 3 weeks total,8-16 hours,1-3 minutes,Excellent,Good,,,good,Good,Excellent,,,,,,,,,,,,its good,NONE,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,good,Caretaker,,Paid,Yes,WUC/ WSC,No,,No,5,1,3,1,No,No,No,No,No,3 months to 1 year ago,,Yes,Yes,,Fixed tariff per month,,1000,,,50,No
48mj-w6rg-1hx5,31-03-2021 18:30:04 UTC,tangi kwonkic primary school,Agago,Lamiyo,Paicam,Kwonkic Labworokema,2.808071,33.1135702,,2005,Government,more than 100,Institutional use (school or healthcare facility/ health centre),,Never,No,Deep borehole,,,,,,,,24,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,More than 3 weeks total,8-16 hours,1-3 minutes,Excellent,Good,,,good,Good,Excellent,,,,,,,,,,,,its good,NONE,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,good,Caretaker,,Paid,Yes,WUC/ WSC,No,,No,5,1,3,1,No,No,No,No,No,3 months to 1 year ago,,Yes,Yes,,Fixed tariff per month,,1000,,,50,No
gmqg-m84w-08a5,20-03-2021 06:25:38 UTC,wang market,Agago,Lira Palwo TC,Pyergweng Ward,Pyer Gweng Central,2.78245785,33.1719136,33715,2004,Government,,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,21,2,Handpump,,GI,Functional in use,Barely functioning (almost not functioning),,,More than 3 weeks total,,,Good,Good,,,good,Good,Good,,,,,,,,,,,,there is a problem with the chains and connecting rode,NONE,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,The water is clear and recommended for uses,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,5,6,3,No,No,Yes,Yes,No,1 to 5 years ago,,No,Yes,,Fixed tariff per month,,1000,,,85,No
9cwe-grj2-jr77,20-03-2021 06:28:25 UTC,wang bito,Agago,Lamiyo,Paicam,Kwonkic Labworokema,2.81191872,33.1130297,21517,2006,NGO,,Institutional use (school or healthcare facility/ health centre),,Never,No,Deep borehole,,,,,,,,24,2,Handpump,,GI,Functional in use,,cylinder and pipes has broken,more than one year,,,,Very poor,Very poor,,,very poor,Good,Good,,,,,,,,,,,,nuts and pedestal need change,Pedestal,nuts cylinder and pipes,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Paid,Yes,WUC/ WSC,No,,No,6,5,3,2,Yes,,,Yes,No,,,Yes,,,,,,,,,
9cwe-grj2-jr77,31-03-2021 18:27:07 UTC,wang bito,Agago,Lamiyo,Paicam,Kwonkic Labworokema,2.81191872,33.1130297,21517,2006,NGO,,Institutional use (school or healthcare facility/ health centre),,Never,No,Deep borehole,,,,,,,,24,2,Handpump,,GI,Non-functional,,cylinder and pipes has broken,more than one year,,,,Very poor,Very poor,,,very poor,Good,Good,,,,,,,,,,,,nuts and pedestal need change,Pedestal,nuts cylinder and pipes,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Paid,Yes,WUC/ WSC,No,,No,6,5,3,2,Yes,,,Yes,No,,,Yes,,,,,,,,,
p15x-7thu-r8e6,20-03-2021 06:42:02 UTC,Tee Muyembe,Agago,Lira Palwo TC,Pyergweng Ward,Pyer Gweng Central,2.78334918,33.1735902,21516,2006,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,32,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,8-16 hours,more than 3 minutes,Poor,Fair (moderate),,,poor,Very poor,Good,,,,,,,,,,,,The borehole needs general rehabilitation,Pumphead,,,,,,,,,,Animal excreta nearby,,,Contamination from animals or human feces (e.g. latrines or OD),,Never,Never,Rarely,The quality of the water is good but lacks proper management,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,7,4,1,No,,,Yes,No,1 to 5 years ago,,No,Users contribute fees only when repair is needed,1000,,,,,,,
ckr6-3dtv-7b7q,20-03-2021 06:57:33 UTC,wang health centre 2,Agago,Lamiyo,Paicam,Kwonkic Labworokema,2.81184135,33.1106071,,2005,NGO,50-100,Institutional use (school or healthcare facility/ health centre),,Never,No,Deep borehole,,,,,,,,21,2,Handpump,,GI,Non-functional,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,8-16 hours,1-3 minutes,Fair (moderate),Good,,,fair,Excellent,Excellent,,,,,,,,,,,,good,Apron,,,,,,,,,,NONE-No contamination risk observed,,,Contamination from soil or metals,,Always - problems with colour,Sometimes,Rarely,there is the small stone in water,Caretaker,,Paid,No,WUC/ WSC,,,,,,,,,Yes,Yes,,,3 months to 1 year ago,,,Yes,,Fixed tariff per month,,1000,,,50,Yes
ckr6-3dtv-7b7q,31-03-2021 18:24:59 UTC,wang health centre 2,Agago,Lamiyo,Paicam,Kwonkic Labworokema,2.81184135,33.1106071,,2005,NGO,50-100,Institutional use (school or healthcare facility/ health centre),,Never,No,Deep borehole,,,,,,,,21,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,8-16 hours,1-3 minutes,Fair (moderate),Good,,,fair,Excellent,Excellent,,,,,,,,,,,,good,Apron,,,,,,,,,,NONE-No contamination risk observed,,,Contamination from soil or metals,,Always - problems with colour,Sometimes,Rarely,there is the small stone in water,Caretaker,,Paid,No,WUC/ WSC,,,,,,,,,Yes,Yes,,,3 months to 1 year ago,,,Yes,,Fixed tariff per month,,1000,,,50,Yes
59hu-efw3-j3a8,20-03-2021 06:58:32 UTC,wang Akwinya,Agago,Lira Palwo TC,Pyergweng Ward,Pyer Gweng Central,2.7838578,33.1725514,1782,2003,NGO,25-50,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,32,2,Handpump,,GI,Non-functional,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,8-16 hours,more than 3 minutes,Very poor,Good,,,very poor,Fair (moderate),Fair (moderate),,,,,,,,,,,,its hard to pump and water takes long to come out,Handle,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,the water quality is ok,Caretaker,,Unpaid,No,No management,,,,,,,,,,,,,1 to 5 years ago,,,No,,,,,,,,
1hx7-0egm-rwwh,20-03-2021 07:09:21 UTC,wang otyat,Agago,Lamiyo,Paicam,Kwonkic Central,2.81191578,33.1109446,,2015,Government,,Institutional use (school or healthcare facility/ health centre),,Never,No,Rain water harvesting tank,,,,10000,,,,,,,,,Non-functional,,there is no pipe for taking the water inside,more than one year,,,,,,,,poor,,,,,,2,20000,no one,no one is use,Very poor,No filtration system exists,,Good,gutters not there,,,,,,,,,Drainage channel,,,,NONE-no contamination risks observed,,,,,,,Caretaker,,Unpaid,No,No management,,,,,,,,,,,,,,,,,,,,,,,,
1hx7-0egm-rwwh,31-03-2021 17:54:55 UTC,wang otyat,Agago,Lamiyo,Paicam,Kwonkic Central,2.81191578,33.1109446,,2015,Government,,Institutional use (school or healthcare facility/ health centre),,Never,No,Rain water harvesting tank,,,,10000,,,,,,,,,Non-functional,,there is no pipe for taking the water inside,more than one year,,,,,,,,poor,,,,,,2,20000,no one,no one is use,Very poor,No filtration system exists,,Good,gutters not there,,,,,,,,,Drainage channel,,,,NONE-no contamination risks observed,,,,,,,Caretaker,,Unpaid,No,No management,,,,,,,,,,,,,,,,,,,,,,,,
1hx7-0egm-rwwh,31-03-2021 18:04:08 UTC,wang otyat,Agago,Lamiyo,Paicam,Kwonkic Central,2.81191578,33.1109446,,2015,Government,,Institutional use (school or healthcare facility/ health centre),,Never,No,Rain water harvesting tank,,,,10000,,,,,,,,,Non-functional,,there is no pipe for taking the water inside,more than one year,,,,,,,,poor,,,,,,2,20000,no one,no one is use,Very poor,No filtration system exists,,Good,gutters not there,,,,,,,,,Drainage channel,,,,NONE-no contamination risks observed,,,,,,,Caretaker,,Unpaid,No,No management,,,,,,,,,,,,,,,,,,,,,,,,
hvjq-h8yu-b7t8,20-03-2021 07:39:22 UTC,wang kituba kurucee,Agago,Lira Palwo TC,Pyergweng Ward,Pyer Gweng Central,2.78448987,33.1708547,21515,2006,NGO,,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,32,2,Handpump,,GI,Functional in use,,The head pump and the pipes were removed,more than one year,,,,Very poor,Good,,,its un clean,Very poor,Very poor,,,,,,,,,,,,the head pump and the pipes were removed long time,Pumphead,,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,,not in existence,,No,Unknown,,No,,,,,,,,,,,,,,,,,,,,,,
ny3d-u0tg-muj1,20-03-2021 07:46:57 UTC,tangi tee olam,Agago,Lamiyo,Paicam,Kwonkic Central,2.80830985,33.1085964,1040,1970,Government,,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,15,2,Handpump,,GI,Non-functional,,chains rod headpump pipes and rod need to be replace,11 to 20 days,More than 3 weeks total,,,Good,Good,,,fair,Very poor,Very poor,,,,,,,,,,,,bearing and rubber has broken,Pumphead,bearing chains and rod pipe has problems,,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,,,,,,,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,Yes,9,7,4,2,Yes,,,Yes,No,,,No,,,,,,,,,
ny3d-u0tg-muj1,31-03-2021 18:20:21 UTC,tangi tee olam,Agago,Lamiyo,Paicam,Kwonkic Central,2.80830985,33.1085964,1040,1970,Government,,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,15,2,Handpump,,GI,Non-functional,,chains rod headpump pipes and rod need to be replace,11 to 20 days,More than 3 weeks total,,,Good,Good,,,fair,Very poor,Very poor,,,,,,,,,,,,bearing and rubber has broken,Pumphead,bearing chains and rod pipe has problems,,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,,,,,,,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,Yes,9,7,4,2,Yes,,,Yes,No,,,No,,,,,,,,,
jerx-kve9-dx68,20-03-2021 08:29:16 UTC,tangi lalira gem,Agago,Lamiyo,Paicam,Gem,2.83194924,33.1050696,,2007,NGO,more than 100,Institutional use (school or healthcare facility/ health centre),,Never,Yes,Deep borehole,,,,,,,,39,2,Handpump,,GI,Non-functional,Partially functioning works with some issues/ difficulties,,,About 1 week in total,8-16 hours,more than 3 minutes,Very poor,Good,,,poor,Poor,Very poor,,,,,,,,,,,,chains and nuts,Pumphead,chains and rod pipe has problems,,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,Contamination from animals or human feces (e.g. latrines or OD),,Sometimes,Never,Rarely,good,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,9,5,4,3,No,Yes,Yes,Yes,No,Never,,No,Yes,,Fixed tariff per month,,1000,,,80,Yes
jerx-kve9-dx68,31-03-2021 18:22:40 UTC,tangi lalira gem,Agago,Lamiyo,Paicam,Gem,2.83194924,33.1050696,,2007,NGO,more than 100,Institutional use (school or healthcare facility/ health centre),,Never,Yes,Deep borehole,,,,,,,,39,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,About 1 week in total,8-16 hours,more than 3 minutes,Very poor,Good,,,poor,Poor,Very poor,,,,,,,,,,,,chains and nuts,Pumphead,chains and rod pipe has problems,,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,Contamination from animals or human feces (e.g. latrines or OD),,Sometimes,Never,Rarely,good,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,9,5,4,3,No,Yes,Yes,Yes,No,Never,,No,Yes,,Fixed tariff per month,,1000,,,80,Yes
1ke0-7px4-bba2,20-03-2021 08:46:29 UTC,Tangi lalira gem,Agago,Lamiyo,Paicam,Gem,2.83350513,33.1044225,,1938,NGO,more than 100,Institutional use (school or healthcare facility/ health centre),,Never,No,Deep borehole,,,,,,,,36,2,Handpump,,GI,Non-functional,,all parts from pedestal and spout has problems,Unknown,,8-16 hours,1-3 minutes,Fair (moderate),Good,,,poor,Very poor,Very poor,,,,,,,,,,,,all parts apart from pedestal and spouts,Pumphead,nuts cylinder rubber pipes,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,9,5,4,2,No,,,Yes,No,,,No,,,,,,,,,
1ke0-7px4-bba2,31-03-2021 17:56:26 UTC,Tangi lalira gem,Agago,Lamiyo,Paicam,Gem,2.83350513,33.1044225,,1938,NGO,more than 100,Institutional use (school or healthcare facility/ health centre),,Never,No,Deep borehole,,,,,,,,36,2,Handpump,,GI,Non-functional,,all parts from pedestal and spout has broken down and some nuts,more than one year,,8-16 hours,1-3 minutes,Fair (moderate),Good,,,poor,Very poor,Very poor,,,,,,,,,,,,all parts apart from pedestal and spouts,Pumphead,nuts cylinder rubber pipes,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,9,5,4,2,No,,,Yes,No,,,No,,,,,,,,,
7wvc-98w0-m8s3,20-03-2021 09:10:35 UTC,wang lamunu rojina,Agago,Lamiyo,Paicam,Gem,2.84060678,33.1069053,2626,2008,NGO,25-50,Water for other household and domestic use,,Never,Yes,Deep borehole,,,,,,,,39,2,Handpump,,GI,Functional in use,,area not favourable,more than one year,Unknown,8-16 hours,1-3 minutes,Good,Good,,,good,Very poor,Very poor,,,,,,,,,,,,all parts part need to be change apart from pedestal,Pedestal,all parts apart from pedestal,,,,,,,,,Animal excreta nearby,,,,,,,,,Caretaker,,Unpaid,No,No management,,,,,,,,,,,,,,,,,,,,,,,,
7wvc-98w0-m8s3,31-03-2021 18:28:04 UTC,wang lamunu rojina,Agago,Lamiyo,Paicam,Gem,2.84060678,33.1069053,2626,2008,NGO,25-50,Water for other household and domestic use,,Never,Yes,Deep borehole,,,,,,,,39,2,Handpump,,GI,Non-functional,,area not favourable,more than one year,Unknown,8-16 hours,1-3 minutes,Good,Good,,,good,Very poor,Very poor,,,,,,,,,,,,all parts part need to be change apart from pedestal,Pedestal,all parts apart from pedestal,,,,,,,,,Animal excreta nearby,,,,,,,,,Caretaker,,Unpaid,No,No management,,,,,,,,,,,,,,,,,,,,,,,,
873t-h6av-parc,20-03-2021 09:31:03 UTC,wang akera,Agago,Lamiyo,Paicam,Kwonkic Dognam,2.84296788,33.1077486,,2015,Government,more than 100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,21,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,About 1 week in total,8-16 hours,1-3 minutes,Fair (moderate),Good,,,Good,Good,Good,,,,,,,,,,,,pipes and chains has problems,Spout,pipes and chains,,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,No concern- water is clean,,Sometimes,Never,Rarely,good,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,9,4,2,1,Yes,Yes,Yes,Yes,No,Less than 3 months ago,,No,Yes,,Fixed tariff per month,,1000,,,100,Yes
873t-h6av-parc,31-03-2021 18:27:27 UTC,wang akera,Agago,Lamiyo,Paicam,Kwonkic Dognam,2.84296788,33.1077486,,2015,Government,more than 100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,21,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,About 1 week in total,8-16 hours,1-3 minutes,Fair (moderate),Good,,,Good,Good,Good,,,,,,,,,,,,pipes and chains has problems,Spout,pipes and chains,,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,No concern- water is clean,,Sometimes,Never,Rarely,good,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,9,4,2,1,Yes,Yes,Yes,Yes,No,Less than 3 months ago,,No,Yes,,Fixed tariff per month,,1000,,,100,Yes
mvq3-sf5s-vqj3,20-03-2021 10:04:49 UTC,dognam bh,Agago,Lamiyo,Paicam,Kwonkic Dognam,2.83224093,33.1150858,46793,2014,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,18,2,Handpump,,GI,Non-functional,Barely functioning (almost not functioning),,,,8-16 hours,more than 3 minutes,Fair (moderate),Excellent,,,fair,Excellent,Good,,,,,,,,,,,,pipes has problems,Drainage channel,,,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,,no,Sometimes,Never,Rarely,good but changes in the morning,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,5,4,2,Yes,No,Yes,Yes,No,Never,,No,Yes,,Fixed tariff per month,,1000,,,80,No
mvq3-sf5s-vqj3,31-03-2021 18:21:58 UTC,dognam bh,Agago,Lamiyo,Paicam,Kwonkic Dognam,2.83224093,33.1150858,46793,2014,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,18,2,Handpump,,GI,Functional in use,Barely functioning (almost not functioning),,,,8-16 hours,more than 3 minutes,Fair (moderate),Excellent,,,fair,Excellent,Good,,,,,,,,,,,,pipes has problems,Drainage channel,,,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,,no,Sometimes,Never,Rarely,good but changes in the morning,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,5,4,2,Yes,No,Yes,Yes,No,Never,,No,Yes,,Fixed tariff per month,,1000,,,80,No
bb7k-pmdf-3arm,20-03-2021 10:28:03 UTC,border kwonkic,Agago,Lamiyo,Paicam,Kwonkic,2.82481444,33.1170185,,2007,Government,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,30,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,8-16 hours,1-3 minutes,Poor,Good,,,poor,Good,Good,,,,,,,,,,,,checking parts only,Drainage channel,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,good water,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,4,4,2,No,Yes,Yes,Yes,No,3 months to 1 year ago,,Yes,Yes,,Fixed tariff per month,,1000,,,100,Yes
bb7k-pmdf-3arm,31-03-2021 18:26:26 UTC,border kwonkic,Agago,Lamiyo,Paicam,Kwonkic,2.82481444,33.1170185,,2007,Government,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,30,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,8-16 hours,1-3 minutes,Poor,Good,,,poor,Good,Good,,,,,,,,,,,,checking parts only,Drainage channel,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,good water,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,4,4,2,No,Yes,Yes,Yes,No,3 months to 1 year ago,,Yes,Yes,,Fixed tariff per month,,1000,,,100,Yes
26np-snrx-vv18,20-03-2021 11:00:40 UTC,wang olanya,Agago,Lamiyo,Paicam,Kwonkic,2.81940191,33.1226147,,2015,NGO,,Water for other household and domestic use,,Never,No,Protected spring,,,,,One,improved,,,,,,I don't know,Non-functional,,the spout is down which stop from coming,more than one year,,,,,,Poor,At least one tap/ spout not in use- abandoned or never used,poor,,,Good,,,,,,,,,,,spout need to be lifted upward,,,Catchment protection or fence,,,,,,,,,No fence,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,8,1,4,6,No,,,No,No,,,No,,,,,,,,,
26np-snrx-vv18,31-03-2021 18:30:23 UTC,wang olanya,Agago,Lamiyo,Paicam,Kwonkic,2.81940191,33.1226147,,2015,NGO,,Water for other household and domestic use,,Never,No,Protected spring,,,,,One,improved,,,,,,I don't know,Non-functional,,the spout is down which stop from coming,more than one year,,,,,,Poor,At least one tap/ spout not in use- abandoned or never used,poor,,,Good,,,,,,,,,,,spout need to be lifted upward,,,Catchment protection or fence,,,,,,,,,No fence,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,8,1,4,6,No,,,No,No,,,No,,,,,,,,,
