Identifier,District,Municipality/Union,Ward Number,Latitude,Longitude,Name of Household,"What is the total number of household members, including yourself?",Water Service Level,Main source of drinking water,Main source of water for other purposes,Specific Location of Water Collection,Time to Collect Water,Times in Last Month When Drinking Water Quantity Was Insufficient,Fecal and Chemical Levels Acceptable,Sanitation Service Level,Type of Toilet Facility,Facility is shared with others outside of the household,Location of sanitation facility,Emptying of on-site sanitation facilities,Disposal of excreta from onite sanitation facilities,Hygiene Service Ladder,Type of Handwashing Facility Used Most Often,Water Available at Handwashing Facility,Soap Available
xnj7-93aa-rm1q,Barguna,Barguna Municipality,5,22.15241371,90.11757606,,4,Basic,Deep tubewell/borehole,,More than 500 meters/1600 feet,Less than 30 minutes,Sufficient,Not Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own dwelling,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
1xbt-hr2d-bfav,Barguna,Barguna Municipality,5,22.1506336,90.11635909,,6,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own dwelling,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
k0h0-h0gn-6xr6,Barguna,Barguna Municipality,3,22.15272924,90.11799431,,3,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own dwelling,No,,No Facility,No handwashing place available in dwelling/plot/yard,,
qh3p-23wy-u7tr,Barguna,Badarkhali Union,6,22.19975198,90.05629652,,6,Basic,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
k7n2-ugnu-9g5p,Barguna,Paurashava,1,22.14472816,90.22656312,,7,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Ventilated Improved Pit latrine (VIP),No,In own dwelling,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
29cg-8713-2q6b,Barguna,Patharghata Municipality,9,22.05384737,89.97714674,,6,Basic,Piped water into dwelling (household connection),,Water is located within the premises,Water is located on the premises,Not Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
fkep-kwa3-d61m,Barguna,Patharghata Municipality,4,22.04281773,89.96542912,,4,Basic,Piped water to yard/plot,,Water is located within the premises,Water is located on the premises,Not Sufficient,Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,Don't Know,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
7s4a-v6ws-bdq1,Barguna,Fuljhuri Union,9,22.22425817,90.16302113,,4,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Safely Managed,Ventilated Improved Pit latrine (VIP),No,In own plot/yard,No,,Basic,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap Available
bv97-x247-gfuw,Barguna,Barguna Municipality,5,22.15613984,90.11807344,,6,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own dwelling,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
pe66-vs4a-j71k,Barguna,Gourichanna Union,2,22.16209487,90.11499891,,4,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Unimproved,Toilet that flush/pour to don't know,No,In own dwelling,,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
721c-kqay-2ds8,Barguna,Patharghata Municipality,9,22.05370783,89.97619746,,4,Basic,Piped water into dwelling (household connection),,Water is located within the premises,Water is located on the premises,Not Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
7fqp-meqv-y3jn,Barguna,Patharghata Municipality,4,22.04339835,89.96559898,,4,Basic,Piped water to yard/plot,,Water is located within the premises,Water is located on the premises,Not Sufficient,Not Contaminated,Safely Managed,Twinpit offset latrine,No,In own plot/yard,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
sw80-wa37-881w,Barguna,Barguna Municipality,5,22.15506465,90.11922629,,5,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own plot/yard,No,,Limited,Fixed facility observed in dwelling,Water is available,Soap is not available
ave0-pays-q3ms,Barguna,Fuljhuri Union,9,22.228805,90.1605968,,5,Safely Managed,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Safely Managed,Twinpit offset latrine,No,In own plot/yard,No,,Basic,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap Available
vayd-627x-jh06,Barguna,Badarkhali Union,6,22.2107136,90.0725039,,8,Basic,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Safely Managed,Ventilated Improved Pit latrine (VIP),No,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
qu88-vw5v-a506,Barguna,Patharghata Municipality,9,22.05293432,89.97568605,,5,Basic,Piped water into dwelling (household connection),,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
ybrc-2g19-hjna,Barguna,Gourichanna Union,2,22.16028684,90.10826455,,8,Basic,Piped water into dwelling (household connection),,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own plot/yard,Yes,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
phpu-wxas-292b,Barguna,Barguna Municipality,5,22.15527579,90.11944665,,6,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Safely Managed,Pit latrine with slab,No,In own dwelling,No,,Limited,Fixed facility observed in dwelling,Water is not available,Soap is not available
dpuy-j7mt-vcax,Barguna,Patharghata Municipality,4,22.04408392,89.96555114,,4,Basic,Piped water into dwelling (household connection),,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,Don't Know,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
ms96-1u76-qjbp,Barguna,Barguna Municipality,5,22.15360561,90.12001276,,4,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
1gkd-1rm5-w56p,Barguna,Barguna Municipality,5,22.15413124,90.11940113,,5,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own dwelling,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
sgkh-67by-vjgn,Barguna,Gourichanna Union,2,22.16372372,90.10691482,,6,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Limited,Twinpit offset latrine,Yes,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
tk37-6pb5-4gnb,Barguna,Patharghata Municipality,9,22.05256386,89.97521395,,8,Basic,Piped water into dwelling (household connection),,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
yy3f-0sbw-wj7h,Barguna,Patharghata Municipality,4,22.0444918,89.9656204,,3,Safely Managed,Piped water to yard/plot,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,Don't Know,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
t4vb-3hvt-29g5,Barguna,Badarkhali Union,6,22.20406596,90.0585147,,7,Safely Managed,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Safely Managed,Twinpit offset latrine,No,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
jr30-etgs-vw4u,Barguna,Paurashava,6,22.13325574,90.22966803,,6,Safely Managed,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Safely Managed,Ventilated Improved Pit latrine (VIP),No,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
g3hw-5hvq-qe3t,Barguna,Patharghata Municipality,9,22.05113886,89.9753157,,4,Basic,Piped water into dwelling (household connection),,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
xpdh-g785-qnnc,Barguna,Patharghata Municipality,4,22.04508239,89.96565366,,4,Basic,Piped water to yard/plot,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Basic,Twinpit offset latrine,No,In own dwelling,Don't Know,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
eqrm-4x9p-nxbs,Barguna,Patharghata Municipality,4,22.04510593,89.96603016,,4,Basic,Piped water to yard/plot,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,Don't Know,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
ak8a-uvsa-e4v6,Barguna,Patharghata Municipality,9,22.05086624,89.97602119,,6,Limited,Rainwater collection,,Don't know,More than 30 minutes,Sufficient,Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,No,,No Facility,No handwashing place available in dwelling/plot/yard,,
heqn-945g-wu9f,Barguna,Paurashava,2,22.13800614,90.23426172,,8,Basic,Deep tubewell/borehole,,More than 500 meters/1600 feet,Less than 30 minutes,Sufficient,Not Contaminated,Safely Managed,Twinpit offset latrine,No,In own dwelling,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
e1hw-79yn-sat5,Barguna,Paurashava,2,22.13691626,90.23426981,,3,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own plot/yard,Yes,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
gvk1-588y-jkmc,Barguna,Paurashava,2,22.14339863,90.23245492,,3,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Unimproved,Toilet that flush/pour to elsewhere,No,In own dwelling,,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
j307-8g4e-jtpx,Barguna,Paurashava,2,22.14320666,90.23247852,,5,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
qnwx-80km-tdw1,Barguna,Paurashava,2,22.14259796,90.23225211,,4,Basic,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
frv7-s7gf-y4gg,Barguna,Paurashava,2,22.14098644,90.2330822,,5,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own dwelling,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
grbn-ptmp-nmp4,Barguna,Barguna Municipality,5,22.15608557,90.11889243,,4,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Basic,Toilet that flush/pour to septic tank,No,In own dwelling,Don't Know,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
tjv9-ghgg-adha,Barguna,Barguna Municipality,5,22.154269,90.11857979,,5,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Basic,Toilet that flush/pour to septic tank,No,In own plot/yard,Don't Know,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
ncpc-cnwr-4bjs,Barguna,Barguna Municipality,5,22.15423145,90.12147465,,3,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own plot/yard,Yes,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
xgtp-9xa3-4cts,Barguna,Barguna Municipality,5,22.15469761,90.12120173,,4,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own dwelling,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
xue1-0nhk-qycj,Barguna,Betagi Municipality,9,22.40694943,90.1612774,,4,Basic,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own plot/yard,Yes,,Basic,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap Available
1yd4-42nf-nq86,Barguna,Betagi Municipality,9,22.40676257,90.16102576,,5,Basic,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Not Sufficient,Contaminated,Limited,Twinpit offset latrine,Yes,In own plot/yard,Yes,,Basic,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap Available
bkp5-639a-dy49,Barguna,Betagi Municipality,9,22.40953448,90.16122696,,2,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own plot/yard,Yes,,Basic,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap Available
0r0x-fb9h-5y35,Barguna,Betagi Municipality,9,22.41223651,90.15811404,,4,Safely Managed,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Limited,Twinpit offset latrine,Yes,In own plot/yard,No,,Basic,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap Available
p08j-5779-uxab,Barguna,Betagi Municipality,9,22.41026486,90.15676453,,5,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Not Sufficient,Not Contaminated,Unimproved,Other,No,In own plot/yard,,,Basic,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap Available
252p-5ytt-d3bn,Barguna,Betagi Municipality,9,22.41043104,90.15597869,,4,Basic,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Not Sufficient,Not Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own plot/yard,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
edrq-94p2-b031,Barguna,Gourichanna Union,2,22.18949316,90.11620848,,4,Safely Managed,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
g79k-h013-m131,Barguna,Gourichanna Union,5,22.2042587,90.10817376,,5,Basic,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own plot/yard,No,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
j921-1jxt-6s8c,Barguna,Gourichanna Union,5,22.20532627,90.11461045,,6,Safely Managed,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Safely Managed,Twinpit offset latrine,No,In own plot/yard,Yes,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
y3rx-p0ks-5sje,Barguna,Gourichanna Union,2,22.18106308,90.11383213,,5,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own plot/yard,No,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
faw6-ua6e-mm71,Barguna,Patharghata Municipality,9,22.05430008,89.96944277,,10,Unimproved,Cart with small tank/drum,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
w6sg-07ar-x2c4,Barguna,Barguna Municipality,3,22.15376944,90.11919728,,3,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own dwelling,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
ybsa-na7a-kq93,Barguna,Patharghata Municipality,4,22.04527044,89.96608252,,4,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Basic,Twinpit offset latrine,No,In own dwelling,Don't Know,,No Facility,No handwashing place available in dwelling/plot/yard,,
pvbk-gjb7-nf5j,Barguna,Fuljhuri Union,2,22.21945833,90.11551682,,5,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own plot/yard,No,,Basic,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap Available
xegr-qqt2-hkcf,Barguna,Barguna Municipality,5,22.15434184,90.12092454,,7,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own dwelling,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
2dsv-hpsv-8d1p,Barguna,Patharghata Municipality,4,22.04538932,89.9664888,,2,Basic,Pond sand filter (PSF),,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,Don't Know,,No Facility,No handwashing place available in dwelling/plot/yard,,
xyc8-tukh-dqnj,Barguna,Gourichanna Union,2,22.17860056,90.10982386,,4,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
h6ks-c306-fkm2,Barguna,Patharghata Municipality,9,22.0547128,89.97074124,,10,Basic,Rainwater collection,,Water is located within the premises,Water is located on the premises,Not Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
kpyj-6ukj-he23,Barguna,Betagi Municipality,9,22.41021057,90.15762146,,7,Basic,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Not Sufficient,Contaminated,Limited,Pit latrine with slab,Yes,In own plot/yard,Yes,,Basic,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap Available
d6pq-ym0r-n280,Barguna,Fuljhuri Union,2,22.22271645,90.11764384,,4,Safely Managed,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Safely Managed,Twinpit offset latrine,No,In own dwelling,No,,Basic,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap Available
gsuh-keh8-0n6q,Barguna,Barguna Municipality,5,22.15376261,90.12102496,,4,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own dwelling,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
2kdt-3ve9-b8rp,Satkhira,Kalaroa Municipality,4,22.84995275,89.03928547,,5,Basic,AIRP (Arsenic iron removal plant),,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to pit latrine,No,In own dwelling,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
7ge1-wp5q-qgad,Barguna,Patharghata Municipality,9,22.05336094,89.97096568,,5,Basic,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Not Sufficient,Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,No,,No Facility,No handwashing place available in dwelling/plot/yard,,
ada0-m4ty-dc79,Satkhira,Kalaroa Municipality,2,22.87137512,89.03551352,,6,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own plot/yard,Yes,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
97bk-fumd-qrqh,Barguna,Barguna Municipality,5,22.1537647,90.12029146,,9,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Limited,Toilet that flush/pour to septic tank,Yes,In own plot/yard,Don't Know,,No Facility,No handwashing place available in dwelling/plot/yard,,
bjqk-d228-0jws,Barguna,Patharghata Municipality,4,22.04590928,89.96671603,,3,Basic,Rainwater collection,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Basic,Twinpit offset latrine,No,In own plot/yard,Don't Know,,No Facility,No handwashing place available in dwelling/plot/yard,,
4br8-k8n0-39eg,Barguna,Fuljhuri Union,2,22.239566,90.11722966,,4,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
2123-0jmp-1b78,Satkhira,Shatkhira Municipality,4,22.84704461,89.03618123,,2,Basic,AIRP (Arsenic iron removal plant),,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,No,,No Facility,No handwashing place available in dwelling/plot/yard,,
wcky-641w-wqvq,Satkhira,Kalaroa Municipality,7,22.84060709,89.05224778,,4,Basic,Deep tubewell/borehole,,Between 150 and 500 meters / between 500 and 1600 feet,Less than 30 minutes,Sufficient,Not Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
wrur-k6yu-duk3,Barguna,Gourichanna Union,2,22.18051374,90.09782775,,5,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own plot/yard,No,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
yx6u-mpgh-3ee7,Satkhira,Kalaroa Municipality,2,22.8710029,89.03761364,,5,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Safely Managed,Twinpit offset latrine,No,In own plot/yard,No,,Limited,Fixed facility observed in plot/yard,Water is not available,Soap Available
33s3-p7kr-r8x4,Satkhira,Kalaroa Municipality,7,22.84163254,89.05163037,,4,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own plot/yard,No,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
1243-edvq-5n5d,Barguna,Patharghata Municipality,4,22.04574654,89.96608825,,2,Basic,Piped water to yard/plot,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,Don't Know,,No Facility,No handwashing place available in dwelling/plot/yard,,
ss4u-15c8-xvf1,Satkhira,Shatkhira Municipality,4,22.8431972,89.0346727,,3,Basic,Bottled water,Shallow tubewell/borehole,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to pit latrine,No,In own dwelling,Yes,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
hbxj-8740-fj1c,Barguna,Patharghata Municipality,9,22.05432335,89.97125264,,4,Unimproved,Cart with small tank/drum,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
3htu-xe25-7c4v,Barguna,Fuljhuri Union,2,22.2302225,90.11140566,,5,Basic,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own plot/yard,No,,Basic,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap Available
ejt9-vr8e-cfqg,Barguna,Fuljhuri Union,9,22.21878128,90.16333646,,4,Limited,Deep tubewell/borehole,,More than 500 meters/1600 feet,More than 30 minutes,Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own plot/yard,No,,Basic,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap Available
4vxp-amv3-1cem,Satkhira,Kalaroa Municipality,2,22.86895298,89.03899529,,4,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Basic,Twinpit offset latrine,No,In own plot/yard,Yes,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
8ver-040b-447y,Satkhira,Kalaroa Municipality,7,22.84207116,89.05221748,,2,Limited,Deep tubewell/borehole,,More than 500 meters/1600 feet,More than 30 minutes,Not Sufficient,Contaminated,Unimproved,Pit latrine without slab/open pit,Yes,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
npea-kh6f-hk2s,Barguna,Gourichanna Union,2,22.1726364,90.10545483,,3,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own plot/yard,No,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
0h7j-6ne9-n5d4,Satkhira,Kalaroa Municipality,4,22.84701608,89.03559803,,6,Basic,Shallow tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own dwelling,Yes,,Limited,Fixed facility observed in plot/yard,Water is available,Soap is not available
sx54-x0yr-c7re,Satkhira,Kalaroa Municipality,7,22.84181373,89.05287596,,2,Basic,Shallow tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Basic,Twinpit offset latrine,No,Elsewhere,Don't Know,,No Facility,No handwashing place available in dwelling/plot/yard,,
uc7v-wvfh-2wv1,Satkhira,Kalaroa Municipality,7,22.84010938,89.05322528,,3,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own plot/yard,Yes,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
h5x0-ke03-gbm7,Satkhira,Kalaroa Municipality,2,22.86793866,89.0393463,,4,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own plot/yard,Yes,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
wwg1-u2ve-0ees,Satkhira,Kalaroa Municipality,4,22.84795744,89.03589035,,4,Basic,AIRP (Arsenic iron removal plant),,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,No,,Limited,Fixed facility observed in plot/yard,Water is available,Soap is not available
t35q-mpxy-1u4a,Barguna,Patharghata Municipality,9,22.05267095,89.97316842,,4,Unimproved,Cart with small tank/drum,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
